#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
70,Qatar,163664,,258.0,,153621,,9785,105.0,58289.0,92.0,1537958.0,547744.0,"2,807,805 ",Asia,17,"10,883",2
71,Paraguay,159474,,3181.0,,133435,,22858,257.0,22179.0,442.0,751582.0,104526.0,"7,190,395 ",South America,45,"2,260",10
72,Ethiopia,159072,,2365.0,,134858,,21849,377.0,1362.0,20.0,2134587.0,18271.0,"116,831,357 ",Africa,734,"49,400",55
73,Nigeria,155657,,1907.0,,133768,,19982,10.0,743.0,9.0,1489103.0,7108.0,"209,490,658 ",Africa,"1,346","109,854",141
74,Myanmar,141896,,3199.0,,131480,,7217,,2596.0,59.0,2490989.0,45580.0,"54,651,351 ",Asia,385,"17,084",22
75,Oman,141496,,1570.0,,132459,,7467,67.0,27254.0,302.0,1550000.0,298549.0,"5,191,779 ",Asia,37,"3,307",3
76,Venezuela,139116,,1344.0,,130834,,6938,131.0,4901.0,47.0,2844236.0,100211.0,"28,382,348 ",South America,204,"21,118",10
77,Libya,133338,,2179.0,,120240,,10919,,19233.0,314.0,725979.0,104714.0,"6,932,952 ",Africa,52,"3,182",10
78,Bosnia and Herzegovina,130979,,5071.0,,115847,,10061,,40089.0,1552.0,661206.0,202375.0,"3,267,225 ",Europe,25,644,5
79,Bahrain,122394,,449.0,,115089,,6856,66.0,70335.0,258.0,3092326.0,1777047.0,"1,740,149 ",Asia,14,"3,876",1
80,Algeria,113092,,2983.0,,78098,,32011,21.0,2549.0,67.0,,,"44,372,339 ",Africa,392,"14,875",
81,Albania,107167,,1796.0,,69773,,35598,46.0,37266.0,625.0,462386.0,160790.0,"2,875,708 ",Europe,27,"1,601",6
82,Kenya,105973,,1856.0,,86678,,17439,58.0,1943.0,34.0,1298838.0,23810.0,"54,549,351 ",Africa,515,"29,391",42
83,North Macedonia,102787,,3137.0,,91233,,8417,124.0,49338.0,1506.0,522518.0,250811.0,"2,083,317 ",Europe,20,664,4
84,S. Korea,90031,355.0,1605.0,2.0,81070,373,7356,131.0,1755.0,31.0,6681883.0,130255.0,"51,298,485 ",Asia,570,"31,962",8
85,Kyrgyzstan,86251,22.0,1466.0,2.0,83210,31,1575,29.0,13078.0,222.0,746069.0,113124.0,"6,595,118  ",Asia,76,"4,499",9
86,Latvia,86186,,1618.0,,75255,,9313,74.0,46033.0,864.0,1500448.0,801402.0,"1,872,278 ",Europe,22,"1,157",1
87,Ghana,84023,,607.0,,77972,,5444,132.0,2667.0,19.0,893602.0,28369.0,"31,499,287  ",Africa,375,"51,893",35
88,Sri Lanka,83094,,464.0,,78947,,3683,,3870.0,22.0,2030702.0,94571.0,"21,472,778 ",Asia,258,"46,278",11
89,Uzbekistan,79926,40.0,622.0,,78496,54,808,27.0,2365.0,18.0,1377915.0,40780.0,"33,789,149 ",Asia,423,"54,323",25
90,Zambia,78534,,1091.0,,74498,,2945,251.0,4195.0,58.0,1087439.0,58086.0,"18,721,032 ",Africa,238,"17,160",17
91,Montenegro,75834,,1003.0,,66226,,8605,68.0,120732.0,1597.0,281114.0,447549.0,"628,119 ",Europe,8,626,2
92,Norway,71006,,622.0,,63783,,6601,19.0,13030.0,114.0,3825778.0,702068.0,"5,449,298 ",Europe,77,"8,761",1
93,Estonia,65600,,589.0,,49908,,15103,42.0,49430.0,444.0,934681.0,704289.0,"1,327,127 ",Europe,20,"2,253",1
94,Singapore,59948,12.0,29.0,,59823,,96,1.0,10194.0,5.0,7290760.0,1239758.0,"5,880,794 ",Asia,98,"202,786",1
95,El Salvador,59866,,1861.0,7.0,55312,,2693,43.0,9199.0,286.0,761858.0,117067.0,"6,507,896 ",North America,109,"3,497",9
96,Mozambique,59350,,641.0,,41096,,17613,,1865.0,20.0,423338.0,13300.0,"31,828,733 ",Africa,536,"49,655",75
97,Uruguay,57994,,608.0,,50039,,7347,76.0,16657.0,175.0,1017834.0,292337.0,"3,481,715 ",South America,60,"5,727",3
98,Finland,57672,,742.0,,46000,,10930,38.0,10398.0,134.0,3316327.0,597921.0,"5,546,434 ",Europe,96,"7,475",2
99,Afghanistan,55733,,2444.0,,49333,,3956,1066.0,1411.0,62.0,298149.0,7547.0,"39,504,098 ",Asia,709,"16,164",132
